ctau_m,BR
9.662168943241257,1.0339338492393973e-11
10.0,1.0690192046029968e-11
10.349643086084784,9.354368899026163e-12
10.71151120093427,9.671798642975463e-12
11.08603178422691,8.750421749906794e-12
12.719721777050767,7.916819159262984e-12
13.164458054677555,7.916819159262984e-12
13.624744228764685,7.656988080124188e-12
14.1011239906908,7.1626291156927754e-12
14.594160041627747,7.1626291156927754e-12
15.104434757204745,7.1626291156927754e-12
15.63255087541228,6.927550656129364e-12
16.179132208557952,6.927550656129364e-12
16.744824380115347,6.700187503509576e-12
17.33029558733649,6.480286440412508e-12
17.936237390528277,6.700187503509576e-12
18.56336552992564,6.480286440412508e-12
19.21242077112597,6.267602560047399e-12
19.88416978008356,6.480286440412508e-12
20.579406028697804,6.267602560047399e-12
23.61208447863487,6.267602560047399e-12
24.437664687235348,6.267602560047399e-12
25.292110737030363,6.267602560047399e-12
26.176431902199706,6.480286440412508e-12
27.091672745497064,6.480286440412508e-12
28.03891435209053,6.480286440412508e-12
29.019275606543747,6.267602560047399e-12
30.033914514445435,6.480286440412508e-12
31.084029570249168,6.480286440412508e-12
32.170861172938466,6.480286440412508e-12
33.2956930911896,6.700187503509576e-12
34.459853979763174,6.700187503509576e-12
35.66471894891472,6.927550656129364e-12
36.91171118867923,6.700187503509576e-12
38.202303649947275,6.927550656129364e-12
39.53802078431883,7.1626291156927754e-12
40.92044034479024,7.1626291156927754e-12
42.35119524940031,7.405684692262443e-12
43.831975510038276,7.1626291156927754e-12
45.36453022869057,7.656988080124188e-12
46.95066966348516,7.405684692262443e-12
48.592267366974035,7.916819159262984e-12
50.29126239917861,7.656988080124188e-12
52.04966161801346,8.185467307069021e-12
53.869542049792614,7.916819159262984e-12
55.753053342618976,8.463231720621151e-12
57.70242030555533,8.463231720621151e-12
59.7199455365749,8.463231720621151e-12
61.80801214239723,9.047357242349274e-12
63.96908655342066,9.047357242349274e-12
66.20572143707693,9.047357242349274e-12
68.52055871304991,9.671798642975463e-12
70.91633267391836,9.671798642975463e-12
73.39587321491076,9.671798642975463e-12
75.96210917658574,1.0339338492393973e-11
78.6180718043869,1.0339338492393973e-11
81.36689832915893,1.0339338492393973e-11
84.21183567285442,1.1052951411260199e-11
87.15624428380667,1.1428020598100332e-11
