tau_ps,BR
88197.14875603578,4.3988672687303706e-07
91967.91985117045,4.6095325372914815e-07
95899.9060745999,4.830286733903083e-07
100000.0,4.3988672687303706e-07
104275.38888537665,5.304017717828118e-07
108733.56727196579,5.304017717828118e-07
113382.35012178497,4.830286733903083e-07
118229.88651687061,5.558031364687166e-07
123284.67394420634,5.304017717828118e-07
128555.57319139031,5.558031364687166e-07
134051.82387914727,6.701701832220501e-07
139783.06065792104,6.103135995556962e-07
145759.3300969297,7.022651688183907e-07
151991.10829529332,6.395420055298556e-07
158489.3192461111,6.701701832220501e-07
165265.35398566912,7.711399142999686e-07
172331.09056135084,7.358972089215089e-07
179698.9148532592,8.87322030006717e-07
187381.74228603867,8.08070421000862e-07
195393.04046896112,9.743462506152064e-07
203746.8528039706,8.87322030006717e-07
212457.82310305716,9.743462506152064e-07
221541.2212581185,1.069905382694853e-06
231012.9700083158,1.069905382694853e-06
240889.67285182985,1.174836488770448e-06
251188.6431509582,1.174836488770448e-06
261927.93448156273,1.2900587263800433e-06
273126.3722800841,1.174836488770448e-06
284803.5868435805,1.2311003470099446e-06
296980.047740645,1.2311003470099446e-06
309677.09969353484,1.2900587263800433e-06
322916.99999439035,1.351840669650838e-06
336722.95752114226,1.6300075509162075e-06
351119.17342151277,1.7080699150414828e-06
366130.883536404,1.5555127999425748e-06
381784.4026370508,1.7898707481630568e-06
398107.1705534969,1.8755890885485035e-06
415127.8002752286,1.7080699150414828e-06
432876.12810830615,1.7898707481630568e-06
451383.2659768975,1.8755890885485035e-06
470681.65596092393,2.261527149896849e-06
490805.1271653861,2.0595377262392468e-06
511788.9550210738,2.483326711892646e-06
533669.9231206302,2.602255212510219e-06
556486.38769833,2.7268792940561525e-06
580278.3448666185,2.483326711892646e-06
605087.5007272935,2.8574717224523493e-06
630957.3444801943,2.9943183265986757e-06
657933.2246575683,3.1377186239694126e-06
686062.4286177781,2.8574717224523493e-06
715394.2654376478,3.44545077588907e-06
745980.152348794,3.6104561667487543e-06
777873.7048694303,3.6104561667487543e-06
811130.8307896856,3.964552113121285e-06
845809.8281751346,3.44545077588907e-06
881971.4875603578,3.6104561667487543e-06
919679.1985117045,4.353376064334925e-06
958999.060745999,4.353376064334925e-06
1000000.0,4.5618627227662645e-06
