tau_ps,BR
284803.5868435805,9.346620889795124e-12
296980.047740645,9.346620889795124e-12
309677.09969353484,8.919460785390164e-12
322916.99999439035,1.026329191874646e-11
336722.95752114226,1.1269865575099335e-11
351119.17342151277,1.1269865575099335e-11
366130.883536404,1.1809588443052806e-11
381784.4026370508,1.075480916996094e-11
398107.1705534969,1.2967815327102911e-11
415127.8002752286,1.3588854365483215e-11
432876.12810830615,1.4239635459673508e-11
451383.2659768975,1.492158298049291e-11
470681.65596092393,1.3588854365483215e-11
490805.1271653861,1.5636189513017268e-11
511788.9550210738,1.63850191234144e-11
533669.9231206302,1.7169710782230724e-11
556486.38769833,1.7169710782230724e-11
580278.3448666185,1.63850191234144e-11
605087.5007272935,1.8853632344378225e-11
630957.3444801943,2.0702704727260656e-11
657933.2246575683,2.1694173799835866e-11
686062.4286177781,2.1694173799835866e-11
715394.2654376478,2.273312511856313e-11
745980.152348794,2.382183264615295e-11
777873.7048694303,2.1694173799835866e-11
811130.8307896856,2.6158161903617273e-11
845809.8281751346,2.741089717973321e-11
881971.4875603578,2.741089717973321e-11
919679.1985117045,2.6158161903617273e-11
958999.060745999,3.0099224396434525e-11
1000000.0,3.0099224396434525e-11
