tau_ps,BR
22154.12212581185,3.903211834619951e-09
23101.29700083158,3.392142128625689e-09
24088.967285183036,3.392142128625689e-09
25118.864315095823,2.813260395103471e-09
26192.793448156273,2.947989683454524e-09
27312.63722800847,2.813260395103471e-09
28480.35868435799,2.947989683454524e-09
29698.0047740645,2.813260395103471e-09
30967.709969353546,2.561992641881217e-09
32291.699999438966,2.226536386437375e-09
33672.29575211422,2.4449042248699314e-09
35111.917342151275,2.4449042248699314e-09
36613.08835364033,2.333166993172021e-09
38178.44026370508,2.333166993172021e-09
39810.71705534969,2.226536386437375e-09
41512.780027522946,2.226536386437375e-09
43287.612810830615,2.1247790212348842e-09
45138.32659768975,2.0276721802439195e-09
47068.165596092396,1.8465696296631298e-09
49080.512716538615,1.935003324790747e-09
51178.895502107385,2.0276721802439195e-09
53366.99231206302,1.935003324790747e-09
55648.63876983301,1.7621775391848325e-09
58027.83448666185,1.935003324790747e-09
60508.75007272936,1.8465696296631298e-09
63095.73444801943,1.935003324790747e-09
65793.32246575682,1.8465696296631298e-09
68606.24286177782,1.935003324790747e-09
71539.42654376478,1.935003324790747e-09
74598.0152348794,1.8465696296631298e-09
77787.37048694304,1.8465696296631298e-09
81113.08307896856,1.8465696296631298e-09
84580.98281751346,1.935003324790747e-09
88197.14875603578,1.8465696296631298e-09
91967.91985117045,1.935003324790747e-09
95899.9060745999,1.935003324790747e-09
100000.0,1.935003324790747e-09
104275.38888537665,1.935003324790747e-09
108733.56727196579,2.0276721802439195e-09
113382.35012178497,1.935003324790747e-09
118229.88651687061,2.0276721802439195e-09
123284.67394420634,2.0276721802439195e-09
128555.57319139031,2.1247790212348842e-09
134051.82387914727,2.1247790212348842e-09
139783.06065792104,2.1247790212348842e-09
145759.3300969297,2.1247790212348842e-09
151991.10829529332,2.0276721802439195e-09
158489.3192461111,2.226536386437375e-09
165265.35398566912,2.226536386437375e-09
172331.09056135084,2.333166993172021e-09
179698.9148532592,2.226536386437375e-09
187381.74228603867,2.226536386437375e-09
195393.04046896112,2.4449042248699314e-09
203746.8528039706,2.6846885167465772e-09
212457.82310305716,2.4449042248699314e-09
221541.2212581185,2.4449042248699314e-09
231012.9700083158,2.813260395103471e-09
240889.67285182985,2.813260395103471e-09
251188.6431509582,2.561992641881217e-09
261927.93448156273,2.6846885167465772e-09
273126.3722800841,2.947989683454524e-09
284803.5868435805,3.237114145474874e-09
296980.047740645,3.392142128625689e-09
309677.09969353484,3.237114145474874e-09
322916.99999439035,3.08917126508464e-09
336722.95752114226,3.5545945257698773e-09
351119.17342151277,3.5545945257698773e-09
366130.883536404,3.5545945257698773e-09
381784.4026370508,3.903211834619951e-09
398107.1705534969,3.5545945257698773e-09
415127.8002752286,3.903211834619951e-09
432876.12810830615,4.090139768371498e-09
451383.2659768975,3.903211834619951e-09
470681.65596092393,4.706371768574849e-09
490805.1271653861,4.286019830241407e-09
511788.9550210738,4.286019830241407e-09
533669.9231206302,5.16794977656246e-09
556486.38769833,5.16794977656246e-09
580278.3448666185,4.706371768574849e-09
605087.5007272935,4.931763673355229e-09
630957.3444801943,5.16794977656246e-09
657933.2246575683,5.94656767426563e-09
686062.4286177781,5.94656767426563e-09
715394.2654376478,6.231353551989443e-09
745980.152348794,6.8424943417585396e-09
777873.7048694303,5.94656767426563e-09
811130.8307896856,6.231353551989443e-09
845809.8281751346,7.170186863508673e-09
881971.4875603578,6.8424943417585396e-09
919679.1985117045,7.873403849352411e-09
958999.060745999,7.873403849352411e-09
